date,Open,High,Low,Close,Volume,aVWAP_peak_220,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_217,aVWAP_valley_217,aVWAP_valley_216,aVWAP_valley_215,aVWAP_valley_214,aVWAP_valley_213,aVWAP_valley_199,aVWAP_valley_162,aVWAP_valley_138,aVWAP_valley_137,aVWAP_valley_136,aVWAP_valley_135,aVWAP_valley_134,aVWAP_valley_133,aVWAP_valley_132,aVWAP_valley_131,aVWAP_valley_130,aVWAP_valley_129,aVWAP_valley_128,aVWAP_valley_127,aVWAP_valley_126,aVWAP_valley_125,aVWAP_valley_124,aVWAP_valley_123,aVWAP_valley_122,aVWAP_valley_121,aVWAP_valley_120,aVWAP_valley_119,aVWAP_valley_118,aVWAP_valley_117,aVWAP_valley_116,aVWAP_valley_115,aVWAP_valley_114,aVWAP_valley_113,aVWAP_valley_112,aVWAP_valley_111,aVWAP_valley_110,aVWAP_valley_109,aVWAP_valley_108,aVWAP_valley_107,aVWAP_valley_106,aVWAP_valley_105,aVWAP_valley_104,aVWAP_valley_103,aVWAP_valley_102,aVWAP_valley_101,aVWAP_valley_100,aVWAP_valley_99,aVWAP_valley_88,aVWAP_valley_87,aVWAP_valley_86,aVWAP_valley_85,aVWAP_valley_84,aVWAP_valley_83,aVWAP_valley_82,aVWAP_valley_81,aVWAP_valley_80,aVWAP_valley_79,aVWAP_valley_78,aVWAP_valley_77,aVWAP_valley_76,aVWAP_valley_75,aVWAP_valley_74,aVWAP_valley_73,aVWAP_valley_72,aVWAP_valley_71,aVWAP_valley_70,aVWAP_valley_69,aVWAP_valley_68,aVWAP_valley_67,aVWAP_valley_66,aVWAP_valley_65,aVWAP_valley_64,aVWAP_valley_63,aVWAP_valley_62,aVWAP_valley_61,aVWAP_valley_60,aVWAP_valley_59,aVWAP_valley_58,aVWAP_valley_57,aVWAP_valley_56,aVWAP_valley_55,aVWAP_valley_54,aVWAP_valley_53,aVWAP_valley_52,aVWAP_valley_51,aVWAP_valley_50,Peaks_avg,Valleys_avg,color
2025-07-11 14:15:00+00:00,26.35,26.35,26.35,26.35,0.0,,,,,,,,,,,26.208333333333336,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.103434913468774,,26.17417230769231,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:20:00+00:00,26.35,26.35,26.35,26.35,0.0,,,,,,,,,,,26.208333333333336,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.103434913468774,,26.17417230769231,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:25:00+00:00,26.35,26.35,26.35,26.35,0.0,,,,,,,,,,,26.208333333333336,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.103434913468774,,26.17417230769231,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:30:00+00:00,26.35,26.35,26.35,26.35,0.0,,,,,,,,,,,26.208333333333336,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.172374358974363,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.124756862745098,26.103434913468774,,26.17417230769231,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:35:00+00:00,26.35,26.61,26.35,26.61,100.0,,,,,,,,,,,26.31027508090615,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.180764272559852,,26.25771904816296,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:40:00+00:00,26.61,26.61,26.61,26.61,0.0,,,,,,,,,,,26.31027508090615,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.180764272559852,,26.25771904816296,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:45:00+00:00,26.61,26.61,26.61,26.61,0.0,,,,,,,,,,,26.31027508090615,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.25495294117647,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.20067619047619,26.180764272559852,,26.25771904816296,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:50:00+00:00,26.61,27.45,26.61,27.45,100.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 14:55:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:00:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:05:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:10:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:15:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:20:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:25:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:30:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:35:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
2025-07-11 15:40:00+00:00,27.45,27.45,27.45,27.45,0.0,,,,,,,,,,,26.52047677261614,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.42924761904762,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.355767999999998,26.334611197511663,,26.433809076726043,"rgba(0, 255, 0, 1.0)"
